Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"NEO22"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"51.763mm"	,"67.5mm"	,"51.763mm"	,"67.5mm"	,"54.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO21"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"43.263mm"	,"67.5mm"	,"43.263mm"	,"67.5mm"	,"45.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO20"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"34.763mm"	,"67.5mm"	,"34.763mm"	,"67.5mm"	,"37.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO19"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"26.263mm"	,"67.5mm"	,"26.263mm"	,"67.5mm"	,"28.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO18"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"17.763mm"	,"67.5mm"	,"17.763mm"	,"67.5mm"	,"20.163mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"NEO17"	,"WS2815E"	,"LED-SMD_6P-L5.0-W5.0-TL"	,"9.263mm"	,"67.5mm"	,"9.263mm"	,"67.5mm"	,"11.663mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"WS2815E"	,
"BC17"	,"CL03A104KO3NNNC"	,"C0201"	,"13.513mm"	,"65.9mm"	,"13.513mm"	,"65.9mm"	,"13.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC18"	,"CL03A104KO3NNNC"	,"C0201"	,"22.013mm"	,"65.9mm"	,"22.013mm"	,"65.9mm"	,"22.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC19"	,"CL03A104KO3NNNC"	,"C0201"	,"30.513mm"	,"65.9mm"	,"30.513mm"	,"65.9mm"	,"30.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC20"	,"CL03A104KO3NNNC"	,"C0201"	,"39.013mm"	,"65.9mm"	,"39.013mm"	,"65.9mm"	,"39.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC21"	,"CL03A104KO3NNNC"	,"C0201"	,"47.513mm"	,"65.9mm"	,"47.513mm"	,"65.9mm"	,"47.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC22"	,"CL03A104KO3NNNC"	,"C0201"	,"56.013mm"	,"65.9mm"	,"56.013mm"	,"65.9mm"	,"56.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC23"	,"CL03A104KO3NNNC"	,"C0201"	,"64.513mm"	,"65.9mm"	,"64.513mm"	,"65.9mm"	,"64.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC24"	,"CL03A104KO3NNNC"	,"C0201"	,"73.013mm"	,"65.9mm"	,"73.013mm"	,"65.9mm"	,"73.287mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC25"	,"CL03A104KO3NNNC"	,"C0201"	,"81.513mm"	,"65.9mm"	,"81.513mm"	,"65.9mm"	,"81.787mm"	,"65.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
